CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Spending_Income_Ratio,Age_Group,Income_Tier,Cluster,Segment_Name
30,Female,23,29,87,3.0,18-25,Low,4,Low Income / 18-25
31,Male,60,30,4,0.13333333333333333,56-65,Low,5,Low Income / 46-55
32,Female,21,30,73,2.433333333333333,18-25,Low,4,Low Income / 18-25
33,Male,53,33,4,0.12121212121212122,46-55,Low,5,Low Income / 46-55
34,Male,18,33,92,2.787878787878788,18-25,Low,4,Low Income / 18-25
35,Female,49,33,14,0.42424242424242425,46-55,Low,5,Low Income / 46-55
36,Female,21,33,81,2.4545454545454546,18-25,Low,4,Low Income / 18-25
37,Female,42,34,17,0.5,36-45,Low,5,Low Income / 46-55
38,Female,30,34,73,2.1470588235294117,26-35,Low,4,Low Income / 18-25
39,Female,36,37,26,0.7027027027027027,36-45,Low,5,Low Income / 46-55
40,Female,20,37,75,2.027027027027027,18-25,Low,4,Low Income / 18-25
41,Female,65,38,35,0.9210526315789473,56-65,Low,0,Mid Income / 46-55
42,Male,24,38,92,2.4210526315789473,18-25,Low,4,Low Income / 18-25
43,Male,48,39,36,0.9230769230769231,46-55,Low,5,Low Income / 46-55
44,Female,31,39,61,1.564102564102564,26-35,Low,1,Mid Income / 18-25
45,Female,49,39,28,0.717948717948718,46-55,Low,5,Low Income / 46-55
46,Female,24,39,65,1.6666666666666667,18-25,Low,4,Low Income / 18-25
47,Female,50,40,55,1.375,46-55,Low,0,Mid Income / 46-55
48,Female,27,40,47,1.175,26-35,Low,1,Mid Income / 18-25
49,Female,29,40,42,1.05,26-35,Low,1,Mid Income / 18-25
50,Female,31,40,42,1.05,26-35,Low,1,Mid Income / 18-25
51,Female,49,42,52,1.2380952380952381,46-55,Mid,0,Mid Income / 46-55
52,Male,33,42,60,1.4285714285714286,26-35,Mid,1,Mid Income / 18-25
53,Female,31,43,54,1.255813953488372,26-35,Mid,1,Mid Income / 18-25
54,Male,59,43,60,1.3953488372093024,56-65,Mid,0,Mid Income / 46-55
55,Female,50,43,45,1.0465116279069768,46-55,Mid,0,Mid Income / 46-55
56,Male,47,43,41,0.9534883720930233,46-55,Mid,0,Mid Income / 46-55
57,Female,51,44,50,1.1363636363636365,46-55,Mid,0,Mid Income / 46-55
58,Male,69,44,46,1.0454545454545454,66+,Mid,0,Mid Income / 46-55
59,Female,27,46,51,1.108695652173913,26-35,Mid,1,Mid Income / 18-25
60,Male,53,46,46,1.0,46-55,Mid,0,Mid Income / 46-55
61,Male,70,46,56,1.2173913043478262,66+,Mid,0,Mid Income / 46-55
62,Male,19,46,55,1.1956521739130435,18-25,Mid,1,Mid Income / 18-25
63,Female,67,47,52,1.1063829787234043,66+,Mid,0,Mid Income / 46-55
64,Female,54,47,59,1.2553191489361701,46-55,Mid,0,Mid Income / 46-55
65,Male,63,48,51,1.0625,56-65,Mid,0,Mid Income / 46-55
66,Male,18,48,59,1.2291666666666667,18-25,Mid,1,Mid Income / 18-25
67,Female,43,48,50,1.0416666666666667,36-45,Mid,0,Mid Income / 46-55
68,Female,68,48,48,1.0,66+,Mid,0,Mid Income / 46-55
69,Male,19,48,59,1.2291666666666667,18-25,Mid,1,Mid Income / 18-25
70,Female,32,48,47,0.9791666666666666,26-35,Mid,1,Mid Income / 18-25
71,Male,70,49,55,1.1224489795918366,66+,Mid,0,Mid Income / 46-55
72,Female,47,49,42,0.8571428571428571,46-55,Mid,0,Mid Income / 46-55
73,Female,60,50,49,0.98,56-65,Mid,0,Mid Income / 46-55
74,Female,60,50,56,1.12,56-65,Mid,0,Mid Income / 46-55
75,Male,59,54,47,0.8703703703703703,56-65,Mid,0,Mid Income / 46-55
76,Male,26,54,54,1.0,26-35,Mid,1,Mid Income / 18-25
77,Female,45,54,53,0.9814814814814815,36-45,Mid,0,Mid Income / 46-55
78,Male,40,54,48,0.8888888888888888,36-45,Mid,1,Mid Income / 18-25
79,Female,23,54,52,0.9629629629629629,18-25,Mid,1,Mid Income / 18-25
80,Female,49,54,42,0.7777777777777778,46-55,Mid,0,Mid Income / 46-55
81,Male,57,54,51,0.9444444444444444,56-65,Mid,0,Mid Income / 46-55
82,Male,38,54,55,1.0185185185185186,36-45,Mid,1,Mid Income / 18-25
83,Male,67,54,41,0.7592592592592593,66+,Mid,0,Mid Income / 46-55
84,Female,46,54,44,0.8148148148148148,46-55,Mid,0,Mid Income / 46-55
85,Female,21,54,57,1.0555555555555556,18-25,Mid,1,Mid Income / 18-25
86,Male,48,54,46,0.8518518518518519,46-55,Mid,0,Mid Income / 46-55
87,Female,55,57,58,1.0175438596491229,46-55,Mid,0,Mid Income / 46-55
88,Female,22,57,55,0.9649122807017544,18-25,Mid,1,Mid Income / 18-25
89,Female,34,58,60,1.0344827586206897,26-35,Mid,1,Mid Income / 18-25
90,Female,50,58,46,0.7931034482758621,46-55,Mid,0,Mid Income / 46-55
91,Female,68,59,55,0.9322033898305084,66+,Mid,0,Mid Income / 46-55
92,Male,18,59,41,0.6949152542372882,18-25,Mid,1,Mid Income / 18-25
93,Male,48,60,49,0.8166666666666667,46-55,Mid,0,Mid Income / 46-55
94,Female,40,60,40,0.6666666666666666,36-45,Mid,1,Mid Income / 18-25
95,Female,32,60,42,0.7,26-35,Mid,1,Mid Income / 18-25
96,Male,24,60,52,0.8666666666666667,18-25,Mid,1,Mid Income / 18-25
97,Female,47,60,47,0.7833333333333333,46-55,Mid,0,Mid Income / 46-55
98,Female,27,60,50,0.8333333333333334,26-35,Mid,1,Mid Income / 18-25
99,Male,48,61,42,0.6885245901639344,46-55,Mid,0,Mid Income / 46-55
100,Male,20,61,49,0.8032786885245902,18-25,Mid,1,Mid Income / 18-25
101,Female,23,62,41,0.6612903225806451,18-25,Mid,1,Mid Income / 18-25
102,Female,49,62,48,0.7741935483870968,46-55,Mid,0,Mid Income / 46-55
103,Male,67,62,59,0.9516129032258065,66+,Mid,0,Mid Income / 46-55
104,Male,26,62,55,0.8870967741935484,26-35,Mid,1,Mid Income / 18-25
105,Male,49,62,56,0.9032258064516129,46-55,Mid,0,Mid Income / 46-55
106,Female,21,62,42,0.6774193548387096,18-25,Mid,1,Mid Income / 18-25
107,Female,66,63,50,0.7936507936507936,66+,Mid,0,Mid Income / 46-55
108,Male,54,63,46,0.7301587301587301,46-55,Mid,0,Mid Income / 46-55
109,Male,68,63,43,0.6825396825396826,66+,Mid,0,Mid Income / 46-55
110,Male,66,63,48,0.7619047619047619,66+,Mid,0,Mid Income / 46-55
111,Male,65,63,52,0.8253968253968254,56-65,Mid,0,Mid Income / 46-55
112,Female,19,63,54,0.8571428571428571,18-25,Mid,1,Mid Income / 18-25
113,Female,38,64,42,0.65625,36-45,Mid,1,Mid Income / 18-25
114,Male,19,64,46,0.71875,18-25,Mid,1,Mid Income / 18-25
115,Female,18,65,48,0.7384615384615385,18-25,Mid,1,Mid Income / 18-25
116,Female,19,65,50,0.7692307692307693,18-25,Mid,1,Mid Income / 18-25
117,Female,63,65,43,0.6615384615384615,56-65,Mid,0,Mid Income / 46-55
118,Female,49,65,59,0.9076923076923077,46-55,Mid,0,Mid Income / 46-55
119,Female,51,67,43,0.6417910447761194,46-55,Mid,0,Mid Income / 46-55
120,Female,50,67,57,0.8507462686567164,46-55,Mid,0,Mid Income / 46-55
121,Male,27,67,56,0.835820895522388,26-35,Mid,1,Mid Income / 18-25
122,Female,38,67,40,0.5970149253731343,36-45,Mid,1,Mid Income / 18-25
123,Female,40,69,58,0.8405797101449275,36-45,Mid,1,Mid Income / 18-25
124,Male,39,69,91,1.318840579710145,36-45,Mid,3,High Income / 26-35
125,Female,23,70,29,0.4142857142857143,18-25,Mid,1,Mid Income / 18-25
126,Female,31,70,77,1.1,26-35,Mid,3,High Income / 26-35
127,Male,43,71,35,0.49295774647887325,36-45,High,2,High Income / 36-45
128,Male,40,71,95,1.3380281690140845,36-45,High,3,High Income / 26-35
129,Male,59,71,11,0.15492957746478872,56-65,High,2,High Income / 36-45
130,Male,38,71,75,1.056338028169014,36-45,High,3,High Income / 26-35
131,Male,47,71,9,0.1267605633802817,46-55,High,2,High Income / 36-45
132,Male,39,71,75,1.056338028169014,36-45,High,3,High Income / 26-35
133,Female,25,72,34,0.4722222222222222,18-25,High,1,Mid Income / 18-25
134,Female,31,72,71,0.9861111111111112,26-35,High,3,High Income / 26-35
135,Male,20,73,5,0.0684931506849315,18-25,High,2,High Income / 36-45
136,Female,29,73,88,1.2054794520547945,26-35,High,3,High Income / 26-35
137,Female,44,73,7,0.0958904109589041,36-45,High,2,High Income / 36-45
138,Male,32,73,73,1.0,26-35,High,3,High Income / 26-35
139,Male,19,74,10,0.13513513513513514,18-25,High,1,Mid Income / 18-25
140,Female,35,74,72,0.972972972972973,26-35,High,3,High Income / 26-35
141,Female,57,75,5,0.06666666666666667,56-65,High,2,High Income / 36-45
142,Male,32,75,93,1.24,26-35,High,3,High Income / 26-35
143,Female,28,76,40,0.5263157894736842,26-35,High,1,Mid Income / 18-25
144,Female,32,76,87,1.144736842105263,26-35,High,3,High Income / 26-35
145,Male,25,77,12,0.15584415584415584,18-25,High,2,High Income / 36-45
146,Male,28,77,97,1.2597402597402598,26-35,High,3,High Income / 26-35
147,Male,48,77,36,0.4675324675324675,46-55,High,2,High Income / 36-45
148,Female,32,77,74,0.961038961038961,26-35,High,3,High Income / 26-35
149,Female,34,78,22,0.28205128205128205,26-35,High,2,High Income / 36-45
150,Male,34,78,90,1.1538461538461537,26-35,High,3,High Income / 26-35
151,Male,43,78,17,0.21794871794871795,36-45,High,2,High Income / 36-45
152,Male,39,78,88,1.1282051282051282,36-45,High,3,High Income / 26-35
153,Female,44,78,20,0.2564102564102564,36-45,High,2,High Income / 36-45
154,Female,38,78,76,0.9743589743589743,36-45,High,3,High Income / 26-35
155,Female,47,78,16,0.20512820512820512,46-55,High,2,High Income / 36-45
156,Female,27,78,89,1.141025641025641,26-35,High,3,High Income / 26-35
157,Male,37,78,1,0.01282051282051282,36-45,High,2,High Income / 36-45
158,Female,30,78,78,1.0,26-35,High,3,High Income / 26-35
159,Male,34,78,1,0.01282051282051282,26-35,High,2,High Income / 36-45
160,Female,30,78,73,0.9358974358974359,26-35,High,3,High Income / 26-35
161,Female,56,79,35,0.4430379746835443,56-65,High,0,Mid Income / 46-55
162,Female,29,79,83,1.0506329113924051,26-35,High,3,High Income / 26-35
163,Male,19,81,5,0.06172839506172839,18-25,High,2,High Income / 36-45
164,Female,31,81,93,1.1481481481481481,26-35,High,3,High Income / 26-35
165,Male,50,85,26,0.3058823529411765,46-55,High,2,High Income / 36-45
166,Female,36,85,75,0.8823529411764706,36-45,High,3,High Income / 26-35
167,Male,42,86,20,0.23255813953488372,36-45,High,2,High Income / 36-45
168,Female,33,86,95,1.1046511627906976,26-35,High,3,High Income / 26-35
169,Female,36,87,27,0.3103448275862069,36-45,High,2,High Income / 36-45
170,Male,32,87,63,0.7241379310344828,26-35,High,3,High Income / 26-35
171,Male,40,87,13,0.14942528735632185,36-45,High,2,High Income / 36-45
172,Male,28,87,75,0.8620689655172413,26-35,High,3,High Income / 26-35
173,Male,36,87,10,0.11494252873563218,36-45,High,2,High Income / 36-45
174,Male,36,87,92,1.0574712643678161,36-45,High,3,High Income / 26-35
175,Female,52,88,13,0.14772727272727273,46-55,High,2,High Income / 36-45
176,Female,30,88,86,0.9772727272727273,26-35,High,3,High Income / 26-35
177,Male,58,88,15,0.17045454545454544,56-65,High,2,High Income / 36-45
178,Male,27,88,69,0.7840909090909091,26-35,High,3,High Income / 26-35
179,Male,59,93,14,0.15053763440860216,56-65,High,2,High Income / 36-45
180,Male,35,93,90,0.967741935483871,26-35,High,3,High Income / 26-35
181,Female,37,97,32,0.32989690721649484,36-45,High,2,High Income / 36-45
182,Female,32,97,86,0.8865979381443299,26-35,High,3,High Income / 26-35
183,Male,46,98,15,0.15306122448979592,46-55,High,2,High Income / 36-45
184,Female,29,98,88,0.8979591836734694,26-35,High,3,High Income / 26-35
185,Female,41,99,39,0.3939393939393939,36-45,High,2,High Income / 36-45
186,Male,30,99,97,0.9797979797979798,26-35,High,3,High Income / 26-35
187,Female,54,101,24,0.2376237623762376,46-55,Very High,2,High Income / 36-45
188,Male,28,101,68,0.6732673267326733,26-35,Very High,3,High Income / 26-35
189,Female,41,103,17,0.1650485436893204,36-45,Very High,2,High Income / 36-45
190,Female,36,103,85,0.8252427184466019,36-45,Very High,3,High Income / 26-35
191,Female,34,103,23,0.22330097087378642,26-35,Very High,2,High Income / 36-45
192,Female,32,103,69,0.6699029126213593,26-35,Very High,3,High Income / 26-35
193,Male,33,113,8,0.07079646017699115,26-35,Very High,2,High Income / 36-45
194,Female,38,113,91,0.8053097345132744,36-45,Very High,3,High Income / 26-35
195,Female,47,120,16,0.13333333333333333,46-55,Very High,2,High Income / 36-45
196,Female,35,120,79,0.6583333333333333,26-35,Very High,3,High Income / 26-35
197,Female,45,126,28,0.2222222222222222,36-45,Very High,2,High Income / 36-45
198,Male,32,126,74,0.5873015873015873,26-35,Very High,3,High Income / 26-35
199,Male,32,137,18,0.13138686131386862,26-35,Very High,2,High Income / 36-45
200,Male,30,137,83,0.6058394160583942,26-35,Very High,3,High Income / 26-35
